2018-12-20__20:35 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 31 minutes] [0.64,0.55,0.43] 29941M 75.4% 927M 12.0% 49925 normal normal normal
2018-12-20__20:35 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.59,0.54,0.42] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:35 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.65,0.55,0.43] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:35 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.59,0.54,0.43] 29941M 75.4% 927M 12.0% 49925 normal normal normal
2018-12-20__20:35 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.55,0.53,0.42] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:35 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.62,0.55,0.43] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.57,0.54,0.43] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.53,0.53,0.43] 29941M 75.4% 927M 12.0% 50464 normal normal note
2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.48,0.52,0.42] 29941M 75.4% 927M 12.1% 50464 normal normal note
2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.48,0.52,0.42] 29941M 75.4% 927M 12.0% 51002 normal normal note
2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.44,0.51,0.42] 29941M 75.4% 927M 12.2% 50464 normal normal note
2018-12-20__20:36 pi1 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.41,0.50,0.42] 29941M 75.4% 927M 12.0% 49925 normal normal normal
