2018-12-20 20:32  927M  815M  12.0%  8.7%
2018-12-20 20:32  927M  815M  12.0%  8.7%
2018-12-20 20:32  927M  814M  12.1%  8.7%
2018-12-20 20:33  927M  815M  12.0%  8.7%
2018-12-20 20:33  927M  815M  12.0%  8.7%
2018-12-20 20:33  927M  815M  12.0%  8.7%
2018-12-20 20:33  927M  814M  12.1%  8.7%
2018-12-20 20:33  927M  814M  12.1%  8.7%
2018-12-20 20:33  927M  814M  12.1%  8.7%
2018-12-20 20:33  927M  815M  12.0%  8.7%
2018-12-20 20:33  927M  815M  12.0%  8.7%
2018-12-20 20:33  927M  815M  12.0%  8.7%
2018-12-20 20:33  927M  815M  12.0%  8.7%
2018-12-20 20:34  927M  814M  12.1%  8.7%
2018-12-20 20:34  927M  814M  12.1%  8.7%
2018-12-20 20:34  927M  815M  12.0%  8.7%
2018-12-20 20:34  927M  815M  12.0%  8.7%
2018-12-20 20:34  927M  815M  12.0%  8.7%
2018-12-20 20:34  927M  815M  12.0%  8.7%
2018-12-20 20:34  927M  815M  12.0%  8.7%
2018-12-20 20:34  927M  812M  12.4%  8.9%
2018-12-20 20:34  927M  814M  12.1%  8.7%
2018-12-20 20:34  927M  811M  12.5%  9.0%
2018-12-20 20:34  927M  815M  12.0%  8.7%
2018-12-20 20:35  927M  814M  12.1%  8.7%
2018-12-20 20:35  927M  814M  12.1%  8.7%
2018-12-20 20:35  927M  814M  12.1%  8.7%
2018-12-20 20:35  927M  814M  12.1%  8.7%
2018-12-20 20:35  927M  814M  12.1%  8.7%
2018-12-20 20:35  927M  815M  12.0%  8.7%
2018-12-20 20:35  927M  815M  12.0%  8.7%
2018-12-20 20:35  927M  815M  12.0%  8.7%
2018-12-20 20:35  927M  814M  12.1%  8.7%
2018-12-20 20:35  927M  815M  12.0%  8.7%
2018-12-20 20:36  927M  815M  12.0%  8.7%
2018-12-20 20:36  927M  814M  12.1%  8.7%
2018-12-20 20:36  927M  813M  12.2%  8.8%
2018-12-20 20:36  927M  815M  12.0%  8.7%
2018-12-20 20:36  927M  814M  12.1%  8.7%
2018-12-20 20:36  927M  815M  12.0%  8.7%
2018-12-20 20:36  927M  815M  12.0%  8.7%
2018-12-20 20:36  927M  815M  12.0%  8.7%
2018-12-20 20:36  927M  815M  12.0%  8.7%
2018-12-20 20:36  927M  814M  12.1%  8.7%
2018-12-20 20:36  927M  815M  12.0%  8.7%
2018-12-20 20:37  927M  814M  12.1%  8.7%
2018-12-20 20:37  927M  816M  11.9%  8.6%
2018-12-20 20:37  927M  815M  12.0%  8.7%
2018-12-20 20:37  927M  815M  12.0%  8.7%
2018-12-20 20:37  927M  815M  12.0%  8.7%
2018-12-20 20:37  927M  814M  12.1%  8.7%
2018-12-20 20:37  927M  812M  12.4%  8.9%
2018-12-20 20:37  927M  814M  12.1%  8.7%
2018-12-20 20:37  927M  815M  12.0%  8.7%
2018-12-20 20:37  927M  815M  12.0%  8.7%
2018-12-20 20:38  927M  815M  12.0%  8.7%
2018-12-20 20:38  927M  815M  12.0%  8.7%
2018-12-20 20:38  927M  813M  12.2%  8.8%
2018-12-20 20:38  927M  814M  12.1%  8.7%
2018-12-20 20:38  927M  815M  12.0%  8.7%
2018-12-20 20:38  927M  815M  12.0%  8.7%
2018-12-20 20:38  927M  815M  12.0%  8.7%
2018-12-20 20:38  927M  815M  12.0%  8.7%
2018-12-20 20:38  927M  814M  12.1%  8.7%
2018-12-20 20:38  927M  815M  12.0%  8.7%
2018-12-20 20:39  927M  813M  12.2%  8.8%
2018-12-20 20:39  927M  814M  12.1%  8.7%
2018-12-20 20:39  927M  815M  12.0%  8.7%
2018-12-20 20:39  927M  815M  12.0%  8.7%
2018-12-20 20:39  927M  815M  12.0%  8.7%
2018-12-20 20:39  927M  815M  12.0%  8.7%
2018-12-20 20:39  927M  815M  12.0%  8.7%
2018-12-20 20:39  927M  814M  12.1%  8.7%
