2018-12-20__20:35 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.84,0.68,0.45] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.77,0.67,0.45] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.88,0.70,0.46] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 32 minutes] [0.81,0.69,0.46] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.74,0.67,0.45] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.68,0.66,0.45] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.65,0.66,0.45] 29941M 52.3% 927M 16.7% 45622 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.60,0.65,0.45] 29941M 52.3% 927M 16.0% 44007 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.55,0.64,0.45] 29941M 52.3% 927M 16.1% 44546 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.59,0.64,0.45] 29941M 52.3% 927M 16.0% 45084 normal normal normal
2018-12-20__20:36 pi2 GNU/Linux [#1023 SMP Tue Aug 8 16:00:15 BST 2017] [up 2 weeks, 5 days, 11 hours, 33 minutes] [0.57,0.64,0.45] 29941M 52.3% 927M 16.0% 44007 normal normal normal
